1,2,6,1
2,1,3,7
3,2,0,8
4,4,5,4
5,1,6,5
6,2,0,3
7,7,7,8
8,7,3,4
9,4,1,3
10,1,4,8
11,14,4,3
12,1,2,7
13,5,3,7
14,1,1,4
15,2,3,0
16,6,7,0
17,1,7,5
18,1,1,4
19,5,2,6
20,2,5,2
21,2,3,6
22,3,2,8
23,7,3,0
24,1,5,8
25,2,5,0
26,3,4,1
27,1,0,7
28,21,8,0
29,1,3,1
30,7,6,1
31,1,3,1
32,23,0,4
33,5,4,0
34,1,2,5
35,1,5,2
36,12,0,5
37,1,2,5
38,2,0,7
39,1,8,2
40,2,7,0
41,2,0,7
42,1,0,2
43,2,2,0
44,2,7,0
45,3,5,0
46,1,7,6
47,4,5,1
48,3,5,8
49,2,4,6
50,2,6,7
51,1,6,8
52,9,0,4
53,12,4,8
54,1,7,5
55,1,5,8
56,1,5,8
57,7,8,3
58,10,1,0
59,12,4,3
60,7,3,8
61,7,3,6
62,1,4,3
63,7,6,7
64,1,5,2
65,1,2,0
66,3,1,3
67,1,5,7
68,7,0,1
69,1,5,6
70,12,8,3
71,3,7,4
72,1,6,2
73,6,8,0
74,10,0,8
75,7,8,4
76,3,8,4
77,1,2,3
78,2,1,0
79,1,4,0
80,9,3,2
81,1,0,2
82,8,3,6
83,7,4,2
84,2,6,1
85,8,2,8
86,1,0,7
87,10,1,2
88,4,7,6
89,12,2,3
90,9,6,1
91,2,0,2
92,1,8,5
93,2,3,8
94,1,6,5
95,5,4,8
96,8,2,0
97,2,5,2
98,14,3,2
99,15,2,8
100,1,2,0
101,3,8,7
102,1,7,0
103,1,2,1
104,5,1,7
105,1,3,1
106,2,0,2
107,2,2,8
108,3,1,3
109,6,0,7
110,2,1,5
111,1,5,3
112,2,3,6
113,5,7,4
114,1,5,8
115,7,8,5
116,1,4,2
117,2,6,7
118,2,1,3
119,3,4,5
120,1,2,7
121,1,4,5
122,2,3,0
123,3,0,5
124,21,8,4
125,1,3,2
126,1,3,8
127,2,8,1
128,1,2,8
129,4,1,2
130,3,7,0
131,14,4,8
132,7,4,3
133,3,7,3
134,4,2,1
135,3,7,4
136,1,1,2
137,1,4,0
138,2,4,3
139,3,1,8
140,11,3,0
141,17,8,1
142,17,1,8
143,10,8,1
144,2,7,1
145,3,7,2
146,8,8,6
147,4,6,2
148,2,2,1
149,3,1,2
150,9,2,4
151,1,0,8
152,8,4,0
153,2,6,8
154,24,0,2
155,24,2,5
156,1,4,2
157,10,1,0
158,1,3,4
159,3,8,0
160,1,2,4
161,17,5,4
162,1,6,3
163,13,4,3
164,3,4,7
165,1,6,8
166,3,5,8
167,8,5,3
168,1,8,5
169,11,0,7
170,1,4,5
171,12,3,8
172,2,4,0
173,1,0,6
174,5,8,1
175,1,6,8
176,3,0,4
177,3,4,8
178,7,8,2
179,4,8,5
180,3,5,7
181,5,3,2
182,2,1,5
183,3,8,2
184,3,5,3
185,4,1,5
186,11,2,4
187,11,5,8
188,2,2,4
189,1,4,7
190,3,5,1
191,7,8,1
