1,1,9
1,2,e
1,3,i
1,4,g
1,5,h
1,6,t
1,7,o
1,8,n
1,9,e
2,1,h
2,2,c
2,3,z
2,4,s
2,5,q
2,6,f
2,7,o
2,8,u
2,9,r
2,10,3
2,11,n
2,12,x
2,13,m
2,14,5
2,15,s
2,16,e
2,17,v
2,18,e
2,19,n
2,20,4
3,1,9
3,2,t
3,3,w
3,4,o
3,5,p
3,6,j
3,7,q
3,8,k
3,9,g
3,10,h
3,11,m
3,12,b
3,13,o
3,14,n
3,15,e
4,1,r
4,2,h
4,3,r
4,4,f
4,5,t
4,6,h
4,7,v
4,8,8
4,9,8
4,10,6
4,11,v
4,12,f
4,13,l
4,14,t
4,15,h
4,16,r
4,17,e
4,18,e
4,19,z
4,20,t
4,21,v
4,22,z
4,23,s
5,1,t
5,2,l
5,3,b
5,4,t
5,5,w
5,6,o
5,7,6
5,8,2
5,9,f
5,10,i
5,11,v
5,12,e
6,1,n
6,2,i
6,3,n
6,4,e
6,5,t
6,6,w
6,7,o
6,8,n
6,9,i
6,10,n
6,11,e
6,12,2
6,13,3
6,14,4
6,15,n
6,16,v
6,17,t
6,18,l
6,19,z
6,20,x
6,21,z
6,22,c
6,23,z
6,24,x
7,1,2
7,2,8
7,3,s
7,4,e
7,5,v
7,6,e
7,7,n
7,8,s
7,9,e
7,10,v
7,11,e
7,12,n
8,1,2
8,2,s
8,3,e
8,4,v
8,5,e
8,6,n
8,7,s
8,8,x
8,9,s
8,10,z
8,11,q
8,12,d
8,13,h
8,14,j
8,15,g
8,16,2
8,17,t
8,18,h
8,19,r
8,20,e
8,21,e
8,22,x
8,23,z
8,24,j
8,25,j
8,26,3
9,1,2
9,2,f
9,3,v
9,4,q
10,1,7
10,2,8
10,3,1
10,4,d
10,5,k
10,6,9
10,7,7
10,8,e
10,9,i
10,10,g
10,11,h
10,12,t
10,13,2
10,14,6
11,1,p
11,2,l
11,3,f
11,4,r
11,5,s
11,6,j
11,7,t
11,8,b
11,9,l
11,10,6
12,1,s
12,2,i
12,3,x
12,4,g
12,5,l
12,6,j
12,7,1
12,8,3
13,1,b
13,2,3
13,3,s
13,4,e
13,5,v
13,6,e
13,7,n
13,8,6
13,9,8
13,10,1
13,11,7
13,12,g
13,13,j
13,14,p
13,15,c
13,16,x
13,17,s
13,18,e
13,19,v
13,20,e
13,21,n
14,1,3
14,2,f
14,3,i
14,4,v
14,5,e
14,6,n
14,7,l
14,8,q
14,9,c
14,10,b
14,11,s
14,12,z
14,13,f
14,14,o
14,15,u
14,16,r
14,17,s
14,18,i
14,19,x
14,20,f
14,21,i
14,22,v
14,23,e
14,24,6
14,25,s
14,26,i
14,27,x
14,28,f
14,29,b
15,1,z
15,2,f
15,3,x
15,4,b
15,5,z
15,6,h
15,7,c
15,8,z
15,9,c
15,10,x
15,11,9
15,12,e
15,13,i
15,14,g
15,15,h
15,16,t
15,17,w
15,18,o
15,19,c
15,20,k
15,21,k
16,1,t
16,2,h
16,3,r
16,4,e
16,5,e
16,6,d
16,7,s
16,8,s
16,9,q
16,10,r
16,11,l
16,12,k
16,13,2
16,14,q
16,15,n
16,16,p
16,17,k
16,18,z
16,19,p
16,20,k
16,21,d
16,22,d
16,23,d
16,24,t
17,1,t
17,2,h
17,3,r
17,4,e
17,5,e
17,6,6
17,7,7
17,8,f
17,9,o
17,10,u
17,11,r
17,12,k
17,13,b
17,14,r
17,15,l
17,16,k
17,17,f
17,18,7
17,19,m
17,20,t
17,21,b
17,22,j
17,23,p
17,24,r
17,25,r
17,26,t
17,27,h
17,28,2
18,1,s
18,2,e
18,3,v
18,4,e
18,5,n
18,6,3
18,7,o
18,8,n
18,9,e
18,10,i
18,11,g
18,12,h
18,13,t
18,14,p
19,1,3
19,2,1
19,3,t
19,4,h
19,5,r
19,6,e
19,7,e
20,1,3
20,2,8
20,3,9
20,4,4
20,5,s
20,6,e
20,7,v
20,8,e
20,9,n
20,10,f
20,11,o
20,12,u
20,13,r
20,14,f
20,15,o
20,16,u
20,17,r
21,1,3
21,2,g
21,3,h
21,4,m
21,5,q
21,6,l
21,7,n
21,8,i
21,9,n
21,10,e
22,1,7
22,2,n
22,3,i
22,4,n
22,5,e
22,6,5
22,7,z
22,8,p
22,9,l
22,10,h
23,1,3
23,2,t
23,3,h
23,4,r
23,5,e
23,6,e
23,7,9
24,1,f
24,2,f
24,3,6
24,4,d
24,5,h
24,6,v
