1,1,green,7
1,2,red,14
1,3,blue,5
1,4,red,8
1,5,green,4
1,6,green,6
1,7,red,18
1,8,blue,9
2,1,blue,3
2,2,red,15
2,3,green,5
2,4,blue,1
2,5,red,14
2,6,green,5
2,7,red,11
2,8,green,4
2,9,blue,1
2,10,red,3
2,11,green,4
2,12,blue,1
2,13,red,10
2,14,green,1
3,1,green,11
3,2,red,3
3,3,green,4
3,4,blue,15
3,5,blue,14
3,6,red,2
3,7,green,10
3,8,red,1
3,9,green,3
3,10,blue,10
4,1,green,1
4,2,red,6
4,3,blue,11
4,4,blue,3
4,5,red,12
4,6,green,1
4,7,red,14
4,8,blue,8
4,9,blue,3
4,10,red,7
4,11,blue,8
4,12,red,5
4,13,red,7
4,14,green,1
5,1,green,14
5,2,red,3
5,3,blue,3
5,4,red,2
5,5,green,1
5,6,blue,1
5,7,green,8
5,8,blue,3
5,9,red,1
5,10,green,15
5,11,blue,8
5,12,red,1
6,1,blue,4
6,2,green,8
6,3,red,5
6,4,green,9
6,5,blue,10
6,6,red,7
6,7,blue,11
6,8,red,10
6,9,green,7
6,10,red,8
6,11,blue,6
6,12,green,9
7,1,green,5
7,2,blue,11
7,3,red,9
7,4,green,2
7,5,red,6
7,6,blue,12
7,7,red,8
7,8,blue,4
7,9,green,3
7,10,green,7
7,11,red,8
7,12,blue,9
7,13,green,8
7,14,red,5
8,1,red,7
8,2,green,12
8,3,blue,9
8,4,red,15
8,5,green,8
8,6,blue,3
8,7,green,11
8,8,red,6
8,9,blue,8
8,10,red,12
8,11,green,5
9,1,blue,8
9,2,red,6
9,3,green,7
9,4,blue,2
9,5,red,3
9,6,green,10
9,7,blue,10
9,8,red,6
9,9,green,7
9,10,red,11
9,11,blue,7
9,12,green,5
9,13,red,10
9,14,green,11
10,1,red,5
10,2,green,14
10,3,red,2
10,4,blue,6
10,5,green,15
10,6,red,3
10,7,blue,4
10,8,green,7
10,9,red,6
10,10,green,1
10,11,blue,4
11,1,blue,4
11,2,green,11
11,3,red,6
11,4,red,12
11,5,blue,1
11,6,green,5
11,7,red,7
11,8,blue,1
11,9,red,11
11,10,green,2
11,11,blue,3
11,12,blue,2
11,13,red,6
11,14,green,7
12,1,green,1
12,2,red,8
12,3,blue,3
12,4,green,3
12,5,red,2
12,6,blue,2
12,7,red,5
12,8,green,1
13,1,green,2
13,2,green,8
13,3,blue,1
13,4,red,12
13,5,blue,1
13,6,green,14
13,7,red,2
13,8,blue,1
13,9,red,6
13,10,green,6
13,11,green,7
13,12,red,10
14,1,green,9
14,2,red,4
14,3,blue,1
14,4,red,5
14,5,green,2
14,6,green,17
14,7,red,1
14,8,red,6
14,9,green,10
14,10,green,4
14,11,red,3
14,12,blue,1
15,1,green,7
15,2,blue,13
15,3,red,4
15,4,blue,1
15,5,green,7
15,6,red,9
15,7,blue,13
15,8,red,13
15,9,green,7
15,10,red,8
15,11,blue,9
15,12,red,9
15,13,blue,14
15,14,green,2
15,15,red,7
15,16,blue,9
16,1,green,6
16,2,blue,18
16,3,red,6
16,4,green,5
16,5,blue,2
16,6,red,2
16,7,green,6
16,8,red,2
16,9,blue,17
16,10,red,2
16,11,green,2
16,12,blue,8
16,13,red,2
16,14,blue,10
17,1,red,17
17,2,green,8
17,3,blue,4
17,4,green,10
17,5,red,3
17,6,red,8
17,7,green,5
17,8,blue,3
17,9,green,12
17,10,red,3
18,1,red,6
18,2,green,1
18,3,blue,14
18,4,red,1
18,5,blue,10
18,6,green,1
18,7,red,1
18,8,blue,17
18,9,green,1
18,10,red,5
18,11,blue,1
18,12,red,5
18,13,blue,18
18,14,red,2
18,15,blue,3
19,1,blue,5
19,2,red,12
19,3,blue,6
19,4,red,3
19,5,green,6
19,6,blue,8
19,7,red,6
19,8,green,6
19,9,green,8
19,10,blue,8
19,11,red,2
19,12,green,4
19,13,red,6
19,14,blue,6
19,15,green,1
19,16,red,3
19,17,blue,13
20,1,green,7
20,2,blue,2
20,3,blue,4
20,4,red,12
20,5,green,2
20,6,red,7
20,7,green,2
20,8,blue,6
21,1,green,8
21,2,red,1
21,3,red,1
21,4,green,9
21,5,red,1
21,6,green,6
21,7,blue,4
21,8,red,1
21,9,green,3
21,10,blue,5
21,11,red,2
21,12,green,6
22,1,green,11
22,2,red,12
22,3,blue,5
22,4,blue,5
22,5,red,9
22,6,green,11
22,7,green,8
22,8,red,4
22,9,blue,5
