1,12,80,12,81
2,13,94,14,93
3,9,9,10,61
4,8,9,9,93
5,36,63,55,63
6,45,90,67,81
7,32,61,13,80
8,33,65,34,34
9,4,95,5,95
10,1,86,7,52
11,10,65,64,64
12,24,55,25,59
13,19,81,6,19
14,5,61,6,61
15,85,85,11,86
16,5,71,6,72
17,71,94,70,93
18,34,62,34,99
19,51,80,57,90
20,13,59,15,58
21,65,84,64,87
22,22,89,5,23
23,5,5,6,98
24,4,11,1,11
25,85,96,5,86
26,16,69,17,17
27,69,70,14,70
28,35,98,35,58
29,73,83,81,81
30,13,93,92,92
31,2,92,96,99
32,10,10,10,99
33,3,70,2,70
34,81,89,3,81
35,8,9,9,78
36,6,99,75,98
37,11,88,11,90
38,31,92,32,93
39,9,98,90,93
40,29,87,27,29
41,17,95,17,95
42,29,86,85,87
43,16,19,1,18
44,22,93,19,62
45,34,96,34,95
46,89,91,47,90
47,47,71,52,70
48,11,29,10,28
49,23,30,23,80
50,5,92,5,87
51,53,53,7,53
52,61,73,22,73
53,34,49,32,67
54,54,82,53,55
55,5,29,27,29
56,15,77,14,66
57,22,76,21,22
58,87,88,15,88
59,38,38,19,37
60,2,98,2,97
61,36,94,35,36
62,2,45,3,45
63,99,99,57,92
64,36,96,38,97
65,2,97,2,98
66,11,98,11,99
67,44,92,93,95
68,8,94,8,74
69,7,24,23,45
70,16,40,16,41
71,21,76,7,75
72,2,5,4,20
73,96,99,77,97
74,1,20,9,23
75,14,33,33,48
76,26,35,26,34
77,67,99,17,68
78,22,22,21,90
79,2,9,8,87
80,64,74,6,65
81,39,99,17,39
82,14,55,21,80
83,39,88,65,87
84,19,98,19,97
85,49,50,3,49
86,3,71,3,72
87,84,88,83,88
88,22,35,22,36
89,25,96,24,69
90,12,36,3,20
91,42,84,41,71
92,4,99,4,47
93,53,59,54,59
94,21,95,20,96
95,17,50,44,60
96,25,81,26,82
97,3,96,2,95
98,13,40,12,71
99,30,98,30,69
100,55,60,54,61
101,43,96,42,95
102,12,35,28,35
103,2,2,3,92
104,7,82,3,6
105,92,99,92,97
106,44,63,44,73
107,71,71,57,72
108,93,93,8,94
109,5,83,4,82
110,18,42,41,41
111,6,27,7,27
112,64,82,15,81
113,2,61,5,60
114,14,50,51,51
115,50,53,49,49
116,22,88,22,89
117,7,87,1,88
118,14,14,9,15
119,23,27,23,29
120,14,91,14,92
121,63,72,47,80
122,32,32,31,98
123,18,40,9,17
124,19,23,18,21
125,5,97,6,97
126,35,93,18,94
127,27,95,24,94
128,14,22,21,45
129,60,75,59,76
130,6,90,6,90
131,72,72,16,73
132,24,28,85,92
133,13,93,13,92
134,25,94,24,95
135,20,65,20,45
136,2,6,7,88
137,17,97,16,17
138,3,37,3,98
139,75,93,43,96
140,99,99,10,87
141,39,39,39,90
142,26,56,25,63
143,23,28,29,76
144,40,86,39,40
145,2,94,3,95
146,76,76,75,77
147,16,82,15,81
148,14,14,13,99
149,1,38,37,98
150,7,32,8,21
151,1,7,5,86
152,3,69,3,3
153,33,92,33,91
154,81,85,82,86
155,1,95,94,95
156,2,83,2,3
157,9,58,10,10
158,42,50,42,49
159,58,66,18,66
160,14,33,13,33
161,39,76,39,40
162,9,96,8,35
163,94,97,11,93
164,1,82,2,74
165,8,10,15,98
166,25,49,15,50
167,86,95,63,87
168,61,79,71,78
169,29,81,43,98
170,58,60,16,59
171,41,64,40,64
172,51,98,51,51
173,30,31,31,98
174,61,94,45,61
175,32,55,33,64
176,80,81,37,81
177,37,84,36,37
178,40,40,41,91
179,20,83,20,83
180,16,23,17,22
181,36,52,35,53
182,21,86,24,90
183,14,81,15,81
184,18,76,18,98
185,88,90,7,89
186,98,99,8,94
187,26,57,26,27
188,98,98,2,97
189,18,28,17,28
190,34,63,56,89
191,18,70,18,69
192,66,88,40,87
193,12,68,69,76
194,55,77,78,87
195,20,77,25,78
196,73,86,4,99
197,41,54,53,53
198,25,60,59,60
199,61,84,61,83
200,27,43,26,42
201,8,62,15,42
202,3,63,15,62
203,27,84,26,85
204,24,87,2,25
205,23,30,29,98
206,10,61,9,60
207,9,93,9,51
208,90,91,7,91
209,14,20,4,14
210,96,99,27,97
211,21,93,13,22
212,23,74,73,73
213,10,85,1,84
214,34,75,72,72
215,59,93,59,94
216,87,93,49,96
217,8,97,8,89
218,98,98,14,96
219,38,92,93,96
220,35,36,36,95
221,14,38,15,99
222,55,91,73,91
223,10,19,11,62
224,17,93,4,56
225,45,88,24,46
226,75,78,28,71
227,4,87,3,86
228,67,94,67,93
229,48,86,16,47
230,12,58,8,57
231,13,14,1,14
232,66,69,33,79
233,25,97,19,97
234,38,55,28,39
235,2,93,3,92
236,28,65,30,64
237,68,68,65,70
238,29,85,30,86
239,2,99,98,98
240,7,64,33,98
241,28,95,96,98
242,72,82,72,81
243,25,68,18,96
244,81,84,82,86
245,9,75,9,76
246,96,99,42,94
247,11,75,4,12
248,20,89,47,88
249,56,84,36,56
250,24,73,24,84
251,50,84,11,83
252,29,99,2,93
253,32,48,31,48
254,49,49,48,86
255,30,30,30,49
256,56,97,36,96
257,14,22,23,31
258,90,90,3,90
259,23,26,23,27
260,31,49,31,50
261,1,14,2,13
262,10,73,10,72
263,4,73,4,73
264,26,92,91,94
265,12,98,16,99
266,50,91,38,39
267,76,96,77,82
268,17,98,51,96
269,3,73,1,4
270,1,99,98,99
271,80,83,81,81
272,24,58,25,25
273,22,65,64,65
274,1,2,3,95
275,30,71,60,68
276,46,46,17,45
277,24,66,22,65
278,4,97,6,97
279,53,67,54,54
280,16,90,20,89
281,53,95,31,96
282,17,44,18,29
283,2,58,57,57
284,63,63,3,63
285,19,75,20,80
286,13,60,13,60
287,49,50,50,76
288,32,48,33,48
289,22,34,22,35
290,7,29,18,86
291,52,85,84,84
292,90,99,72,94
293,8,73,10,83
294,50,50,36,51
295,40,75,40,74
296,67,93,67,76
297,79,80,18,66
298,92,95,6,91
299,1,99,9,99
300,24,32,24,31
301,7,8,7,93
302,5,99,21,81
303,82,90,89,92
304,58,58,3,57
305,4,95,5,98
306,85,88,84,87
307,3,92,2,92
308,48,90,48,89
309,8,97,7,15
310,26,62,61,61
311,82,82,4,81
312,19,32,21,32
313,1,5,6,75
314,37,37,36,63
315,14,34,15,34
316,26,46,10,47
317,10,29,10,28
